0.000000 0.000000
0.100000 0.002494
0.200000 0.009900
0.300000 0.021997
0.400000 0.038416
0.500000 0.058654
0.600000 0.082080
0.700000 0.107947
0.800000 0.135406
0.900000 0.163524
1.000000 0.191299
1.100000 0.217686
1.200000 0.241608
1.300000 0.261986
1.400000 0.277759
1.500000 0.287903
1.600000 0.291457
1.700000 0.287544
1.800000 0.275389
1.900000 0.254341
2.000000 0.223891
2.100000 0.183684
2.200000 0.133538
2.300000 0.073451
2.400000 0.003611
2.500000 -0.075600
2.600000 -0.163602
2.700000 -0.259618
2.800000 -0.362679
2.900000 -0.471634
3.000000 -0.585156
3.100000 -0.701766
3.200000 -0.819845
3.300000 -0.937669
3.400000 -1.053438
3.500000 -1.165324
3.600000 -1.271534
3.700000 -1.370399
3.800000 -1.460496
3.900000 -1.540835
4.000000 -1.611139
4.100000 -1.672248
4.200000 -1.726748
4.300000 -1.779898
4.400000 -1.841025
4.500000 -1.925592
4.600000 -2.058257
4.700000 -2.277350
4.800000 -2.641397
4.900000 -3.238536
5.000000 -4.200021
5.100000 -5.719454
5.200000 -8.079956
5.300000 -11.692339
5.400000 -17.148336
5.500000 -25.294398
5.600000 -37.333349
5.700000 -54.963618
5.800000 -80.568833
5.900000 -117.474595
6.000000 -170.294378
6.100000 -245.393129
6.200000 -351.505515
6.300000 -500.556501
6.400000 -708.745403
6.500000 -997.971633
6.600000 -1397.701691
6.700000 -1947.403705
6.800000 -2699.709128
6.900000 -3724.502575
7.000000 -5114.191999
7.100000 -6990.474601
7.200000 -9512.991651
7.300000 -12890.360703
7.400000 -17394.190346
7.500000 -23376.824792
7.600000 -31293.738525
7.700000 -41731.710929
7.800000 -55444.164454
7.900000 -73395.355904
8.000000 -96815.478714
8.100000 -127269.176307
8.200000 -166740.496195
8.300000 -217737.947505
8.400000 -283424.079228
8.500000 -367774.894465
8.600000 -475775.481930
8.700000 -613659.509015
8.800000 -789201.714061
8.900000 -1012074.297695
9.000000 -1294280.188573
9.100000 -1650678.598636
9.200000 -2099621.145778
9.300000 -2663720.174850
9.400000 -3370774.828258
9.500000 -4254884.993157
9.600000 -5357788.583902
9.700000 -6730463.820686
9.800000 -8435045.368675
9.900000 -10547111.554770
10.000000 -13158409.549878
